num	var	rchr	chr	strokes	loc	name	examples
1	1	⼀	一	1	O	いち	丁七万丈三
2	1	⼁	丨	1	O	ぼう	中丰串
3	1	⼂	丶	1	O	てん	丸丹主丼
4	1	⼃	丿	1	O	の	乂乃
4	2			1	T	の	久乍乎
5	1	⼄	乙	1	O	おつ	乞乾
5	2	⺃	乚	1	V	れ	乳
6	1	⼅	亅	1	O	はねぼう	了予
7	1	⼆	二	2	O	に	于五井些
8	1	⼇	亠	2	O	なべぶた	交亥京亮
9	1	⼈	人	2	O	ひと	从
9	2	⺅	亻	2	L	にんへん	仁仕他仙休
9	3			2	T	ひとやんえ	今介令会
10	1	⼉	儿	2	O	ひとあし	兄兆先光兒
11	1	⼊	入	2	O	いる	
12	1	⼋	八	2	O	はちがしら	公共兵具典
12	2		ハ	2	V	はち	
12	3			2	T	はちがしら	
13	1	⼌	冂	2	O	どうがまえ	冉冊再冎冏
14	1	⼍	冖	2	O	わかんむり	冗冠冢冤冥
15	1	⼎	冫	2	O	にすい	冬冰冶冷凍
16	1	⼏	几	2	O	つくえ	凡凭凱凳
16	2	⺇			E	かざがまえ	凰
17	1	⼐	凵	2	O	かんにょう、うけばこ	凶凸凹出函
18	1	⼑	刀	2	O	かたな	刃分切初券
18	2	⺉	刂	2	R	りっとう	刈刊刑列判
19	1	⼒	力	2	O	ちから	功劣助努励
20	1	⼓	勹	2	O	つつみがまえ	勺勻勾包匈
21	1	⼔	匕	2	O	さじのひ	北匙
22	1	⼕	匚	2	O	はこがまえ	匠匡匣匪匱
23	1	⼖	匸	2	O	かくしがまえ	匹医匼匿區
24	1	⼗	十	2	O	じゅう	千午南
24	2			2	L	じゅうへん	協博
25	1	⼘	卜	2	O	ぼくのと	卞卦
25	2	⺊		2		ぼくのと	占卡卣
26	1	⼙	卩	2	O	ふしづくり	卯印即却
26	2	⺋		2	V	ふしづくり	危
27	1	⼚	厂	2	O	がんだれ	厄厖厘厚原
28	1	⼛	厶	2	O	む	厷去厽叀參
29	1	⼜	又	2	O	また	叉友双取受
30	1	⼝	口	3	O	くち	史名君吟味
31	1	⼞	囗	3	O	くにがまえ	囚因困國園
32	1	⼟	土	3	O	つち	報在堂圭尭
32	2			3	L	つちへん	地均坊城域
33	1	⼠	士	3	O	さむらい	壬壯壺壻壽
34	1	⼡	夂	3	O	ふゆがしら	夅夆処粂
34	2			3	B	なつあし	変
35	1	⼢	夊	3	O	すいにょう、ふゆがしら	夋复夎夏夔
36	1	⼣	夕	3	O	た、ゆうべ	外夘多夜夢
37	1	⼤	大	3	O	だい、おおきい	天太夫契奔
38	1	⼥	女	3	O	おんな	妻
38	2			3	L	おんなへん	好妊妹姓
39	1	⼦	子	3	O	こ	字孝孟
39	2			3	L	こへん	孔孫
40	1	⼧	宀	3	O	うかんむり	宅宇宗官定
41	1	⼨	寸	3	O	すん	寺尋
